Date,Close/Last,Volume,Open,High,Low
07/02/2021,$90.05,1677371,$89.4,$92.88,$86.14
07/01/2021,$88.77,2195670,$85.6,$91.5777,$85.227
06/30/2021,$85.44,2106188,$82.48,$87.6538,$80.75
06/29/2021,$82.97,1727476,$85.09,$85.74,$80.76
06/28/2021,$85.48,2818558,$80.34,$87.1,$79.35
06/25/2021,$78.41,3368304,$81.36,$84.25,$78.38
06/24/2021,$81.46,3060592,$79.23,$87.28,$79.11
06/23/2021,$77.56,2488121,$80.7,$81.45,$74.72
06/22/2021,$77.63,6482255,$88.43,$89.15,$72.4801
06/21/2021,$89.72,4450335,$80.52,$92.5,$79.01
06/18/2021,$79.65,1745468,$78,$81.48,$77.75
06/17/2021,$78.6,2056288,$78.81,$82.8,$77.87
06/16/2021,$80.27,2885571,$72,$80.99,$71.16
06/15/2021,$72.1,1324995,$74.91,$75.84,$71.55
06/14/2021,$75.79,2249402,$79.79,$79.79,$73.73
06/11/2021,$77,8956360,$68.907,$86.92,$67.98
06/10/2021,$66.35,1301104,$65.8,$67.565,$63.3901
06/09/2021,$66.38,1404529,$69.0177,$69.88,$65.4526
06/08/2021,$68.96,2233025,$69.33,$73.2583,$66.06
06/07/2021,$67.59,7925575,$64.98,$76.1,$62.57
06/04/2021,$64.16,1511341,$62.74,$64.8,$61.9514
06/03/2021,$62.06,1428208,$58.515,$62.51,$57.6
06/02/2021,$60.7,1736635,$57.959,$61.3,$56.5
06/01/2021,$57.06,1230090,$54.2865,$57.22,$53.1901
05/28/2021,$53.92,1416987,$56.01,$58.215,$53.53
05/27/2021,$55.6,1903541,$51.71,$55.6,$51.01
05/26/2021,$50.9,2058860,$48.28,$53.42,$48.11
05/25/2021,$47.77,1278257,$48.09,$49.89,$46.64
05/24/2021,$48.28,2363410,$50.73,$52.0612,$45.74
05/21/2021,$50.02,2845942,$50.04,$54.82,$48.68
05/20/2021,$49.39,1658178,$48,$51.6699,$47.435
05/19/2021,$47.96,1554900,$45.43,$48,$43.8
05/18/2021,$46.72,2021697,$44.23,$48.49,$43.05
05/17/2021,$43.88,1046678,$41,$44.0599,$40.1032
05/14/2021,$40.92,1024677,$38.01,$41.1899,$37.4901
05/13/2021,$37.78,816139,$37.9,$39.23,$36.41
05/12/2021,$37.49,825729,$39.14,$39.9,$37.36
05/11/2021,$39.23,917122,$36.35,$39.7652,$36.0503
05/10/2021,$38.62,751893,$41.44,$41.74,$38.23
05/07/2021,$41.43,586873,$41.68,$43.18,$40.825
05/06/2021,$41.79,1096756,$41.13,$41.9755,$38.81
05/05/2021,$42.02,843504,$41.8,$43,$41.28
05/04/2021,$41.15,1239714,$41.19,$43.52,$40.41
05/03/2021,$42.99,1588350,$46.89,$47.35,$42.21
04/30/2021,$46.8,1208167,$46.33,$48.8625,$46.09
04/29/2021,$47.57,1936465,$48.06,$48.91,$45.6
04/28/2021,$47.1,1982002,$42.87,$47.65,$42.61
04/27/2021,$44.34,3899348,$45.33,$48.46,$42.25
04/26/2021,$41.81,1521065,$40.54,$42.56,$38.61
04/23/2021,$39.59,2060285,$37.11,$40.65,$36.6145
04/22/2021,$36.08,1401119,$35.27,$37.3,$34.09
04/21/2021,$34.87,2243722,$32.3181,$36.6986,$31.5001
04/20/2021,$32.15,1325380,$33.66,$33.69,$31.4401
04/19/2021,$33.99,1154558,$34.46,$35.8,$33.3167
04/16/2021,$34.85,1029148,$34.65,$35.33,$33.68
04/15/2021,$35.09,812276,$36.21,$36.67,$34.7
04/14/2021,$35.67,1051917,$36.31,$37.56,$35.2101
04/13/2021,$36.03,1765925,$36.39,$36.72,$34.75
04/12/2021,$35.96,2593393,$41.02,$41.05,$35.75
04/09/2021,$41.57,597427,$41.69,$42.27,$40.8
04/08/2021,$42.1,970987,$41.49,$42.43,$40.35
04/07/2021,$41.46,1025285,$42.98,$43.05,$41.15
04/06/2021,$42.82,1130555,$44.69,$44.7259,$42.61
04/05/2021,$44.83,838475,$47.478,$47.68,$44.6
04/01/2021,$46.87,1086903,$46.04,$47.74,$45.1
03/31/2021,$44.95,1327519,$45.24,$47.925,$44.23
03/30/2021,$43.96,2187386,$44.4,$44.6,$42.03
03/29/2021,$44.48,1062728,$46.67,$47.35,$44.43
03/26/2021,$46.57,1717583,$48.13,$49.39,$45.9
03/25/2021,$49.71,1863024,$46.61,$51.07,$45.11
03/24/2021,$48.81,1520516,$52.32,$53.34,$48.23
03/23/2021,$52.39,2128814,$54.91,$55.25,$50.72
03/22/2021,$55.81,1809183,$58.48,$59.89,$55.02
03/19/2021,$57.77,2420187,$57.0263,$59.49,$55.3501
03/18/2021,$56.25,3479929,$60.754,$62.3,$55.61
03/17/2021,$62.52,9315195,$52.327,$63.65,$51.04
03/16/2021,$52.16,1539068,$53.56,$54.6141,$51.51
03/15/2021,$52.71,1707623,$53.79,$56.77,$51.78
03/12/2021,$53.44,1273691,$52.44,$54.68,$51.2
03/11/2021,$54.29,1577231,$52.17,$54.7491,$52.0382
03/10/2021,$51.6,2627791,$54,$54.35,$49.01
03/09/2021,$52.05,2977143,$48,$52.98,$47.21
03/08/2021,$45.02,1548877,$42.966,$46.01,$42.6941
03/05/2021,$43.41,4066974,$45.26,$45.46,$35.62
03/04/2021,$44.48,3035559,$48.05,$50.26,$42.33
03/03/2021,$48.7,2178342,$52.12,$52.96,$47.89
03/02/2021,$51.55,3299151,$51,$55.84,$50.32
03/01/2021,$50.06,2561389,$51.05,$53.5,$49.52
02/26/2021,$48.58,2276090,$51.1,$52,$47.79
02/25/2021,$50.88,3646053,$52.8,$57.48,$50.0101
02/24/2021,$53.06,2368681,$52.99,$54.59,$51.315
02/23/2021,$52.37,3990192,$50.49,$54.85,$47.5
02/22/2021,$53.02,12338830,$65.735,$65.735,$51.7
02/19/2021,$55.76,5871392,$52,$57.6727,$50.33
02/18/2021,$51,2820193,$50,$51.75,$49.0001
02/17/2021,$51.22,4093804,$50.25,$53.85,$49.25
02/16/2021,$51.83,12490570,$50.61,$59.39,$49.38
02/12/2021,$46.12,5268899,$46.6,$47.6299,$43.63
02/11/2021,$48.19,3605493,$50.4,$52.25,$48
02/10/2021,$49.29,10390020,$52.355,$52.67,$46.63
02/09/2021,$57.56,7526406,$57.79,$65.72,$55.63
02/08/2021,$60.67,29580210,$52.11,$69,$48.2
